sample_time_ns,label,mode,interval_ns,interval_psys_uj,active_psys_uj,idle_uj,total_score,runtime_ns,wakeups,cycles,instructions,cache_misses,migrations,freq_runtime_ns
65877420819489,benchmark,psys,201087472,8243591,8243591,0,2750000,0,55,786973419,2699440701,314649,101,""
65877621647923,benchmark,psys,200828434,8549988,8549988,0,2050000,0,41,810439144,2803081880,361802,120,""
65877822701239,benchmark,psys,201053316,7900269,7900269,0,3200000,0,64,733250711,2504916508,376133,119,""
65878023872098,benchmark,psys,201170859,8162292,8162292,0,3950000,0,79,696949077,2422539632,253975,112,""
65878225108285,benchmark,psys,201236187,7960693,7960693,0,2600000,0,52,717020792,2504856848,361069,98,""
65878426165199,benchmark,psys,201056914,7267090,7267090,0,3550000,0,71,708418980,2360078496,327383,138,""
65878627294338,benchmark,psys,201129139,7913818,7913818,0,2650000,0,53,748836382,2565998706,294682,103,""
65878828159504,benchmark,psys,200865166,7779846,7779846,0,3050000,0,61,696031198,2408210595,321324,99,""
65879029072996,benchmark,psys,200913492,7692261,7692261,0,3250000,0,65,773555906,2648180071,363084,123,""
65879230189758,benchmark,psys,201116762,8106506,8106506,0,3450000,0,69,684767275,2354391991,412023,126,""
65879431235100,benchmark,psys,201045342,7598206,7598206,0,2900000,0,58,719698412,2486400794,225164,98,""
65879632234015,benchmark,psys,200998915,7919739,7919739,0,3700000,0,74,728345009,2489039955,264915,126,""
65879833309443,benchmark,psys,201075428,7451233,7451233,0,4200000,0,84,572901251,1968512501,450143,110,""
65880034435207,benchmark,psys,201125764,7620667,7620667,0,1850000,0,37,739658390,2595916511,169410,85,""
65880235560602,benchmark,psys,201125395,7935913,7935913,0,3050000,0,61,719161834,2463456043,289154,111,""
65880436568197,benchmark,psys,201007595,7847290,7847290,0,3450000,0,69,703380462,2404597439,265481,114,""
65880637611110,benchmark,psys,201042913,7688721,7688721,0,2150000,0,43,709750786,2446126775,203656,77,""
65880838607773,benchmark,psys,200996663,7162476,7162476,0,4100000,0,82,578296940,1947083577,431629,153,""
65881039807599,benchmark,psys,201199826,7723999,7723999,0,4450000,0,89,602820352,2068751316,417958,135,""
65881241022408,benchmark,psys,201214809,8048340,8048340,0,2150000,0,43,729148809,2517863935,137464,92,""
65881442136523,benchmark,psys,201114115,7422852,7422852,0,1950000,0,39,730931335,2524811452,240818,59,""
65881642998885,benchmark,psys,200862362,7747925,7747925,0,3950000,0,79,680239209,2307417592,779447,137,""
65881843897443,benchmark,psys,200898558,7784729,7784729,0,3250000,0,65,769464863,2663458218,195126,104,""
65882045137859,benchmark,psys,201240416,8007263,8007263,0,3850000,0,77,751203177,2575514313,432722,114,""
65882246239491,benchmark,psys,201101632,8114380,8114380,0,3100000,0,62,696032147,2377336799,568451,132,""
65882447343988,benchmark,psys,201104497,7414307,7414307,0,1950000,0,39,661099029,2388398719,79337,72,""
65882648212634,benchmark,psys,200868646,8150208,8150208,0,3000000,0,60,705802871,2360930938,282404,113,""
65882849152070,benchmark,psys,200939436,7531311,7531311,0,3250000,0,65,646633348,2226090593,406986,117,""
65883050179921,benchmark,psys,201027851,7850464,7850464,0,2000000,0,40,767568077,2674071965,110629,75,""
65883251310774,benchmark,psys,201130853,7758118,7758118,0,3700000,0,74,658887244,2238267605,305105,127,""
65883452356040,benchmark,psys,201045266,7232544,7232544,0,4450000,0,89,622693634,2093877289,611822,140,""
65883653333464,benchmark,psys,200977424,8423096,8423096,0,2500000,0,50,754009698,2620579246,217422,74,""
65883854158028,benchmark,psys,200824564,7854309,7854309,0,2450000,0,49,755458361,2623899342,271427,84,""
65884055532378,benchmark,psys,201374350,8030823,8030823,0,2900000,0,58,712854061,2494391803,305798,89,""
65884256543261,benchmark,psys,201010883,8155029,8155029,0,3100000,0,62,725131490,2492135880,467299,102,""
65884457595605,benchmark,psys,201052344,8234924,8234924,0,850000,0,17,826133803,2911568707,24677,41,""
65884658578899,benchmark,psys,200983294,8285645,8285645,0,2800000,0,56,801899182,2782760052,473550,95,""
65884859288067,benchmark,psys,200709168,7533569,7533569,0,2850000,0,57,712366804,2422578169,393674,110,""
65885060210142,benchmark,psys,200922075,7480103,7480103,0,3100000,0,62,671481010,2290653901,585600,143,""
65885261268810,benchmark,psys,201058668,8157104,8157104,0,2900000,0,58,727530003,2520988121,572138,113,""
65885462308164,benchmark,psys,201039354,7687927,7687927,0,3600000,0,72,638879320,2194057197,513260,98,""
65885663534710,benchmark,psys,201226546,7925171,7925171,0,2550000,0,51,734939942,2564290564,255614,78,""
65885864539151,benchmark,psys,201004441,7505005,7505005,0,3850000,0,77,616640545,2094791444,446771,133,""
65886065825474,benchmark,psys,201286323,7993835,7993835,0,2900000,0,58,796949169,2718967220,385023,111,""
65886267086982,benchmark,psys,201261508,7840881,7840881,0,3600000,0,72,638612741,2192953035,240940,126,""
65886468100140,benchmark,psys,201013158,7624207,7624207,0,1700000,0,34,638961144,2225175266,131232,59,""
65886669243073,benchmark,psys,201142933,8179932,8179932,0,3650000,0,73,707607403,2485329855,409251,109,""
65886870531258,benchmark,psys,201288185,8002136,8002136,0,1600000,0,32,787916865,2756140478,162511,57,""
65887071496641,benchmark,psys,200965383,2577637,2577637,0,400000,0,8,115086262,399336129,6681,23,""
65887272531163,benchmark,psys,201034522,2117004,2117004,0,300000,0,6,0,0,0,6,""
